order,family,genus,species,tax_resolution,a,b,n,minimum_size,maximum_size,continent,region_detail,source publication,relation,original_a,orginal_a_SE,orginal_ln_a,orginal_ln_a_SE,orginal_b,orginal_b_SE,notes
Hemiptera,Veliidae,Rhagovelia,Rhagovelia obesa,species,0.008304149,2.78,21,,,North America,,Smock 1980,linear model natural log,,,-4.791,1018,2.78,0.4,
Odonata,Coenagrionidae,Argia,,genus,0.00859994,2.67,23,,,North America,,Smock 1980,linear model natural log,,,-4.756,3068,2.67,0.39,
Odonata,,,,order,0.013995772,2.78,,,,North America,,Smock 1980,linear model natural log,,,-4.269,0.847,2.78,0.32,
Hemiptera,Gerridae,Gerris,Gerris remigis,species,0.014995577,2.6,15,,,North America,,Smock 1980,linear model natural log,,,-4.2,0.916,2.6,0.45,
Hemiptera,Veliidae,Metrobates,Metrobates hesperius,species,0.016907466,2.66,25,,,North America,,Smock 1980,linear model natural log,,,-4.08,0.525,2.66,0.34,
Ephemeroptera,Heptageniidae,Heptagenia,Heptagenia aphrodite,species,0.018006905,2.33,90,,,North America,,Smock 1980,linear model natural log,,,-4.017,0.694,2.33,0.12,
Coleoptera,Haliplidae,Peltodytes,Peltodytes sexmaculatus,species,0.027051847,2.74,17,,,North America,,Smock 1980,linear model natural log,,,-3.61,0.811,2.74,0.45,
Hemiptera,,,,order,0.031398348,2.4,,,,North America,,Smock 1980,linear model natural log,,,-3.461,0.311,2.4,0.21,
Hemiptera,Corixidae,Sigara,,genus,0.038006427,2.53,53,,,North America,,Smock 1980,linear model natural log,,,-3.27,0.693,2.53,0.47,
Coleoptera,Elmidae,Stenelmis,,genus,0.038388398,2.61,32,,,North America,,Smock 1980,linear model natural log,,,-3.26,0.38,2.61,0.41,
Coleoptera,Gyrinidae,Dineutes,,genus,0.053077615,2.59,41,,,North America,,Smock 1980,linear model natural log,,,-2.936,0.518,2.59,0.63,
Coleoptera,Dytiscidae,Hydroporus,,genus,0.061790849,2.5,42,,,North America,,Smock 1980,linear model natural log,,,-2.784,0.6,2.5,0.53,
Coleoptera,Elmidae,Macronychus,Macronychus glabratus,species,0.08517903,2.39,29,,,North America,,Smock 1980,linear model natural log,,,-2.463,0.472,2.39,0.3,
Coleoptera,,,,order,0.152895591,2.18,,,,North America,,Smock 1980,linear model natural log,,,-1.878,0.348,2.18,0.13,
Diptera,Chironomidae,Chironomus,,genus,0.000245471,3.347,88,2.9,16,Oceania,New Zealand,Stoffels 2003,linear model log10 base,,,-3.61,0.111,3.347,0.114,
Diptera,Chironomidae,Cricotopus,,genus,0.001472313,2.823,31,1.4,5,Oceania,New Zealand,Stoffels 2003,linear model log10 base,,,-2.832,0.125,2.823,0.26,
Diptera,Chironomidae,Tanytarsus,,genus,0.001753881,2.673,75,1.38,4.8,Oceania,New Zealand,Stoffels 2003,linear model log10 base,,,-2.756,0.065,2.673,0.136,
Diptera,Chironomidae,Cladopelma,,genus,0.001923092,2.576,46,2,4.5,Oceania,New Zealand,Stoffels 2003,linear model log10 base,,,-2.716,0.144,2.576,0.357,
Diptera,Chironomidae,,,family,0.002108628,2.473,508,1.3,16,Oceania,New Zealand,Stoffels 2003,linear model log10 base,,,-2.676,0.031,2.473,0.048,
Diptera,Chironomidae,Metriocnemus,,genus,0.002142891,2.34,111,1.7,5,Oceania,New Zealand,Stoffels 2003,linear model log10 base,,,-2.669,0.095,2.34,0.181,
Diptera,Chironomidae,Paucispinigera,,genus,0.002404363,2.425,56,1.58,6.7,Oceania,New Zealand,Stoffels 2003,linear model log10 base,,,-2.619,0.059,2.425,0.087,
Diptera,Chironomidae,Macropelopiini,,genus,0.003076097,2.459,99,1.3,9.5,Oceania,New Zealand,Stoffels 2003,linear model log10 base,,,-2.512,0.099,2.459,0.154,
Odonata,Corduliidae,Procordulia,,genus,0.006053409,3.157,21,4.55,20,Oceania,New Zealand,Stoffels 2003,linear model log10 base,,,-2.218,0.163,3.157,0.167,
Trichoptera,Leptoceridae,Triplectides,,genus,0.007498942,2.835,,3.65,10,Oceania,New Zealand,Stoffels 2003,linear model log10 base,,,-2.125,0.187,2.835,0.217,
Trichoptera,Leptoceridae,Oecetis,,genus,0.00887156,2.584,73,1.9,5.6,Oceania,New Zealand,Stoffels 2003,linear model log10 base,,,-2.052,0.11,2.584,0.21,
Trichoptera,Hydroptilidae,Paroxyethira,,genus,0.012676519,2.901,73,1.28,3.23,Oceania,New Zealand,Stoffels 2003,linear model log10 base,,,-1.897,0.035,2.901,0.139,
Odonata,Coenagrionidae,Xanthocnemis,,genus,0.014387986,2.296,17,1.87,14,Oceania,New Zealand,Stoffels 2003,linear model log10 base,,,-1.842,0.203,2.296,0.226,
Ephemeroptera,Nesameletidae,Nesameletus,,genus,0.00101588,3.527,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-6.892,0.404,3.527,0.163,
Plecoptera,Eustheniidae,Stenoperla,Stenoperla prasina,species,0.001075467,3.278,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-6.835,1.343,3.278,0.44,
Trichoptera,Conoesucidae,Olinga,Olinga feredayi,species,0.001404604,3.342,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-6.568,0.236,3.342,0.108,
Trichoptera,Hydropsychidae,Aoteapsyche,,genus,0.0024738,3.035,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-6.002,0.581,3.035,0.231,
Megaloptera,Corydalidae,Archichauliodes,Archichauliodes diversus,species,0.004005848,2.678,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-5.52,0.433,2.678,0.135,
Ephemeroptera,Leptophlebiidae,Deleatidium,,genus,0.004607822,3.056,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-5.38,0.276,3.056,0.139,
Trichoptera,Hydrobiosidae,,,family,0.005461674,2.222,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-5.21,0.573,2.222,0.234,
Diptera,Simuliidae,Austrosimulium,,genus,0.007424277,2.421,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-4.903,0.222,2.421,0.169,
Trichoptera,,,,order,0.007491397,2.436,133,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-4.894,0.268,2.436,0.121,
Trichoptera,Conoesucidae,Pycnocentrodes,,genus,0.00765038,2.502,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-4.873,0.725,2.502,0.443,
Plecoptera,Austroperlidae,Austroperla,Austroperla cyrene,species,0.008329099,2.6,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-4.788,0.229,2.6,0.1,
Ephemeroptera,,,,order,0.00960953,2.701,195,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-4.645,0.215,2.701,0.094,
Plecoptera,,,,order,0.011737106,2.504,93,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-4.445,0.131,2.504,0.079,
Ephemeroptera,Leptophlebiidae,Zephlebia,,genus,0.013473911,2.525,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-4.307,0.366,2.525,0.177,
Diptera,Limoniidae,Aphrophila,Aphrophila neozelandica,species,0.013884252,1.809,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-4.277,0.307,1.809,0.126,
Ephemeroptera,Ameletopsidae,Ameletopsis,Ameletopsis perscitus,species,0.01545226,2.43,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-4.17,0.993,2.43,0.406,
Diptera,Chironomidae,,,family,0.020733594,2.721,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-3.876,0.17,2.721,0.156,
Ephemeroptera,Coloburiscidae,Coloburiscus,Coloburiscus humeralis,species,0.026134474,2.47,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-3.6445,0.467,2.47,0.191,
Diptera,,,,order,0.056247145,1.245,62,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-2.878,0.18,1.245,0.105,
Plecoptera,Gripopterygidae,Zelandoperla,,genus,0.100258844,1.733,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-2.3,0.659,1.733,0.278,
Coleoptera,,,,order,0.13425692,3.227,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-2.008,0.142,3.227,0.123,
Plecoptera,Gripopterygidae,Zelandobius,,genus,0.211612184,2.596,,,,Oceania,New Zealand,Towers et al 1994,linear model natural log,,,-1.553,0.26,2.596,0.428,
Trichoptera,Limnephilidae,Limnephilus,Limnephilus atlanticus,species,0.008480407,2.75,74,4.7,13.13,Europe,Azores,Balibrea et al 2017 ,linear model natural log,,,-4.77,0.34,2.75,0.16,
Diptera,Ceratopogonidae,,,family,0.000301995,2.7,22,2.03,9.8,North America,Canada,Methot et al 2012,linear model log10 base,,,-3.52,0.18,2.7,0.23,
Diptera,Chironomidae,,,family,0.003981072,1.99,102,1.5,15.8,North America,Canada,Methot et al 2012,linear model log10 base,,,-2.4,0.08,1.99,0.12,larvae
Diptera,Chironomidae,,,family,0.004570882,2.53,13,1.75,3.8,North America,Canada,Methot et al 2012,linear model log10 base,,,-2.34,0.22,2.53,0.47,pupae
Diptera,Tipulidae,,,family,0.003019952,2.44,22,2.32,11.07,North America,Canada,Methot et al 2012,linear model log10 base,,,-2.52,0.34,2.44,0.44,
Ephemeroptera,Heptageniidae,Rhithrogena,Rhithrogena carpatoalpina,species,0.0001,1.76,,,,Europe,Slovakia,Dekanova et al 2023,linear model natural log,,,-9.33,,1.76,,
Ephemeroptera,Caenidae,Tasmanocoenis,Tasmanocoenis tillyardi,species,0.002511886,3.17,35,0.8,5.8,Oceania,"Australia, NSW",Marchant & Grant 2015,linear model log10 base,,,-2.6,,3.17,,
Ephemeroptera,Baetidae,Centroptilum,Centroptilum elongatum,species,0.004168694,2.55,43,1,10.8,Oceania,"Australia, NSW",Marchant & Grant 2015,linear model log10 base,,,-2.38,,2.55,,
Ephemeroptera,Leptophlebiidae,,,family,0.008317638,2.54,44,1.9,12.7,Oceania,"Australia, NSW",Marchant & Grant 2015,linear model log10 base,,,-2.08,,2.54,,"include measurements from species of Ulmerophlebia, Jappa, Tillyardophlebia, Atalophlebia."
